Selection,Scenario name,vehYear,vehPtType,dragCoef,frontalAreaM2,gliderKg,vehCgM,driveAxleWeightFrac,wheelBaseM,cargoKg,vehOverrideKg,maxFuelStorKw,fuelStorSecsToPeakPwr,fuelStorKwh,fuelStorKwhPerKg,maxFuelConvKw,fcEffMap,fcEffType,fuelConvSecsToPeakPwr,fuelConvBaseKg,fuelConvKwPerKg,mcPwrOutPerc,maxMotorKw,motorSecsToPeakPwr,stopStart,mcPeKgPerKw,mcPeBaseKg,maxEssKw,maxEssKwh,essKgPerKwh,essBaseKg,essRoundTripEff,essLifeCoefA,essLifeCoefB,wheelInertiaKgM2,numWheels,wheelRrCoef,wheelRadiusM,wheelCoefOfFric,minSoc,maxSoc,essDischgToFcMaxEffPerc,essChgToFcMaxEffPerc,maxAccelBufferMph,maxAccelBufferPercOfUseableSoc,percHighAccBuf,mphFcOn,kwDemandFcOn,altEff,chgEff,auxKw,forceAuxOnFC,transKg,transEff,compMassMultiplier,essToFuelOkError,maxRegen,valUddsMpgge,valHwyMpgge,valCombMpgge,valUddsKwhPerMile,valHwyKwhPerMile,valCombKwhPerMile,valCdRangeMi,valConst65MphKwhPerMile,valConst60MphKwhPerMile,valConst55MphKwhPerMile,valConst45MphKwhPerMile,valUnadjUddsKwhPerMile,valUnadjHwyKwhPerMile,val0To60Mph,valEssLifeMiles,valRangeMiles,valVehBaseCost,valMsrp,minFcTimeOn,idleFcKw,mcEffMap
21,2022 Porsche Taycan Perf Battery Plus,2022,BEV,0.292625583,2.35570174,0,-0.53,0.59,2.6,0,2381.358,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",350,4,False,0.833,21.6,385.0,93.4,8,75,0.97,110,-0.6811,0.815,4,0.008548359,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
22,2022 Porsche Taycan 4S Perf Battery Plus,2022,BEV,0.277207022,2.35570174,0,-0.53,0.59,2.6,0,2494.756,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",495,4,False,0.833,21.6,544.5,93.4,8,75,0.97,110,-0.6811,0.815,4,0.009059852,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
23,2022 Chevrolet Bolt EV,2022,BEV,0.287590934,2.791844094,0,-0.53,0.59,2.6,0,1757.669,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",150,4,False,0.833,21.6,165.0,65.0,8,75,0.97,110,-0.6811,0.815,4,0.007853602,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
24,2022 Tesla Model Y RWD,2022,BEV,0.255624688,2.653310822,0,-0.53,0.59,2.6,0,1927.766,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",228,4,False,0.833,21.6,250.8,61.0,8,75,0.97,110,-0.6811,0.815,4,0.007585219,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
25,2022 BMW iX xDrive50 (22 inch wheels),2022,BEV,0.3029992,2.87777618,0,-0.53,0.59,2.6,0,2721.552,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",422,4,False,0.833,21.6,464.2,111.5,8,75,0.97,110,-0.6811,0.815,4,0.007716649,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
26,2022 Volvo C40 Recharge twin,2022,BEV,0.379266454,2.4871718,0,-0.53,0.59,2.6,0,2267.96,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",300,4,False,0.833,21.6,330.0,78.0,8,75,0.97,110,-0.6811,0.815,4,0.007591607,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
27,2022 Mercedes-Benz EQS 580 4matic,2022,BEV,0.261857416,2.477432464,0,-0.53,0.59,2.6,0,2721.552,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",385,4,False,0.833,21.6,423.5,107.8,8,75,0.97,110,-0.6811,0.815,4,0.009192822,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
28,2022 Porsche Taycan GTS ST,2022,BEV,0.341769978,2.358745283,0,-0.53,0.59,2.6,0,2494.756,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",510,4,False,0.833,21.6,561.0,93.4,8,75,0.97,110,-0.6811,0.815,4,0.008134454,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
29,2022 Tesla Model 3 Performance AWD,2022,BEV,0.285854068,2.267598045,0,-0.53,0.59,2.6,0,1927.766,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",355,4,False,0.833,21.6,390.5,82.0,8,75,0.97,110,-0.6811,0.815,4,0.01066798,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
30,2022 Mercedes-Benz AMG EQS 4matic Plus,2022,BEV,0.313914697,2.477432464,0,-0.53,0.59,2.6,0,2948.348,0,1,0,9.89,0.0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",484,4,False,0.833,21.6,532.4,107.8,8,75,0.97,110,-0.6811,0.815,4,0.010126076,0.336,0.7,0,1,0,0,60,0.2,0,55,100,1,0.86,0.25,False,0,0.98,1.0,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
